airline,total_incidents,total_fatalities,years_active,fatal_events,avg_damage,last_incident,recency_factor,incident_rate,fatality_rate,fatal_ratio,weighted_rate,norm_weighted_rate,norm_fatality_rate,norm_fatal_ratio,norm_avg_damage,penalty,safety_score,risk_label
Kendall Flying Service Llc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Laramie Aviation Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Dominicana Airlines,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Comerford West Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Cruse Aviation,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Cp Air,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Dewkat Aviation,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Dickman Aviation,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Liberty Aviation,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Boise Aviation Fuel Co,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Elmo Aero Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Kahili Airlines,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Mallard Air,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
